,Unnamed: 0.1,Unnamed: 0,songs,artist,title,lyrics,enumerated_list,lyrics_not_found,sentiment,neg,neu,pos,compound
0,2,2,Wow.,Post Malone,Top Songs of 2019: Canada,"['said', 'tire', 'littl', 'money', 'need', 'big', 'boy', 'pull', '20', 'inch', 'blade', 'im', 'lil', 'troy', 'everybodi', 'flockin', 'need', 'decoy', 'shawti', 'mix', 'vodka', 'lacroix', 'gwagen', 'gwagen', 'gwagen', 'gwagen', 'housew', 'pullin', 'got', 'lot', 'toy', '720', 'bumpin', 'fall', 'boy', 'talkin', 'shit', 'begin', 'mmmm', 'back', 'feelin', 'forgivin', 'forgivin', 'know', 'piss', 'see', 'winnin', 'see', 'winnin', 'see', 'igloo', 'mouth', 'grinnin', 'grinnin', 'hunnid', 'band', 'pocket', 'hunnid', 'deep', 'roll', 'armi', 'get', 'bottl', 'bottl', 'lone', 'moment', 'show', 'got', 'em', 'sayin', 'wow', 'wow', 'wow', 'hunnid', 'band', 'pocket', 'grandmama', 'probabl', 'know', 'know', 'get', 'bottl', 'bottl', 'lone', 'moment', 'show', 'got', 'em', 'sayin', 'wow', 'wow', 'wow', 'everywher', 'go', 'hey', 'catch', 'block', 'im', 'mutombo', 'wow', '750', 'lambo', 'utah', 'snow', 'skrrt', 'trunk', 'front', 'shit', 'dumbo', 'cut', 'roof', 'niptuck', 'pull', 'hous', 'big', 'butt', 'turn', 'kitchen', 'counter', 'stripclub', 'wow', 'dre', 'came', 'got', 'guap', 'yall', 'appear', 'wow', 'drop', 'stoney', 'none', 'yall', 'realli', 'care', 'care', 'alway', 'say', 'congratul', 'kid', 'kid', '40', 'im', 'pourin', 'shit', 'use', 'lot', 'got', 'yup', 'made', 'anoth', 'hit', 'caus', 'got', 'bore', 'yup', 'alway', 'goin', 'never', 'punt', 'fourth', 'last', 'call', 'hail', 'mari', 'prescott', 'touchdown', 'ayi', 'might', 'also', 'hunnid', 'band', 'pocket', 'hunnid', 'deep', 'roll', 'armi', 'hey', 'get', 'bottl', 'bottl', 'lone', 'moment', 'show', 'got', 'em', 'sayin', 'wow', 'wow', 'wow', 'hunnid', 'band', 'pocket', 'grandmama', 'probabl', 'know', 'get', 'bottl', 'bottl', 'lone', 'moment', 'show', 'got', 'em', 'sayin', 'wow', 'got', 'em', 'sayin', 'wow', 'ayi', 'ayi', 'wow', 'sayin', 'wow', 'wow', 'wow171emb']",[],False,"{'neg': 0.127, 'neu': 0.643, 'pos': 0.23, 'compound': 0.9888}",0.127,0.643,0.23,0.9888
1,6,6,7 rings,Ariana Grande,Top Songs of 2019: Canada,"['ring', 'breakfast', 'tiffani', 'bottl', 'bubbl', 'girl', 'tattoo', 'get', 'troubl', 'lash', 'diamond', 'atm', 'machin', 'buy', 'favorit', 'thing', 'bad', 'shit', 'sad', 'bitch', 'woulda', 'thought', 'itd', 'turn', 'savag', 'rather', 'tie', 'call', 'string', 'write', 'check', 'write', 'sing', 'wrist', 'stop', 'watchin', 'neck', 'flossi', 'make', 'big', 'deposit', 'gloss', 'poppin', 'hair', 'gee', 'thank', 'bought', 'see', 'want', 'got', 'want', 'got', 'want', 'got', 'want', 'got', 'want', 'got', 'hair', 'gee', 'thank', 'bought', 'see', 'want', 'got', 'yep', 'wear', 'ring', 'aint', 'gon', 'mr', 'bought', 'match', 'diamond', 'six', 'bitch', 'id', 'rather', 'spoil', 'friend', 'rich', 'think', 'retail', 'therapi', 'new', 'addict', 'whoever', 'said', 'money', 'cant', 'solv', 'problem', 'must', 'enough', 'money', 'solv', 'em', 'say', 'one', 'say', 'nah', 'want', 'em', 'happi', 'price', 'redbottom', 'might', 'also', 'smile', 'beamin', 'skin', 'gleamin', 'gleamin', 'way', 'shine', 'know', 'youv', 'seen', 'youv', 'seen', 'bought', 'crib', 'closet', 'closet', 'want', 'got', 'want', 'got', 'want', 'got', 'want', 'got', 'want', 'got', 'babi', 'hair', 'gee', 'thank', 'bought', 'oh', 'see', 'want', 'got', 'yep', 'receipt', 'lookin', 'phone', 'number', 'aint', 'money', 'wrong', 'number', 'black', 'card', 'busi', 'card', 'way', 'settin', 'tone', 'dont', 'mean', 'brag', 'put', 'bag', 'see', 'rack', 'stack', 'ass', 'shoot', 'go', 'store', 'booth', 'make', 'back', 'one', 'loop', 'gim', 'loot', 'never', 'mind', 'got', 'juic', 'noth', 'net', 'shoot', 'look', 'neck', 'look', 'jet', 'aint', 'got', 'enough', 'money', 'pay', 'respect', 'aint', 'budget', 'im', 'set', 'that', 'get', 'want', 'got', 'want', 'got', 'oh', 'want', 'got', 'want', 'got', 'oh', 'hair', 'gee', 'thank', 'bought', 'see', 'want', 'got', 'see', 'yep468emb']",[],False,"{'neg': 0.116, 'neu': 0.652, 'pos': 0.232, 'compound': 0.9064}",0.116,0.652,0.232,0.9064
2,7,7,Shallow,"Lady Gaga, Bradley Cooper",Top Songs of 2019: Canada,"['tell', 'somethin', 'girl', 'happi', 'modern', 'world', 'need', 'somethin', 'els', 'your', 'searchin', 'im', 'fallin', 'good', 'time', 'find', 'long', 'chang', 'bad', 'time', 'fear', 'tell', 'someth', 'boy', 'arent', 'tire', 'tryna', 'fill', 'void', 'need', 'aint', 'hard', 'keepin', 'hardcor', 'im', 'fall', 'good', 'time', 'find', 'long', 'chang', 'bad', 'time', 'fear', 'im', 'deep', 'end', 'watch', 'dive', 'ill', 'never', 'meet', 'ground', 'crash', 'surfac', 'cant', 'hurt', 'us', 'far', 'shallow', 'might', 'also', 'shaha', 'shahallow', 'shaha', 'shalalalalow', 'shaha', 'shahallow', 'far', 'shallow', 'oh', 'ha', 'ah', 'ha', 'ohah', 'ha', 'im', 'deep', 'end', 'watch', 'dive', 'ill', 'never', 'meet', 'ground', 'crash', 'surfac', 'cant', 'hurt', 'us', 'far', 'shallow', 'shaha', 'shallow', 'shaha', 'shalalalalow', 'shaha', 'shallow', 'far', 'shallow', 'now362emb']",[],False,"{'neg': 0.148, 'neu': 0.662, 'pos': 0.19, 'compound': 0.3322}",0.148,0.662,0.19,0.3322
3,8,8,Without Me,Halsey,Top Songs of 2019: Canada,"['found', 'heart', 'broke', 'fill', 'cup', 'overflow', 'took', 'far', 'keep', 'close', 'keep', 'close', 'afraid', 'leav', 'ooh', 'said', 'id', 'catch', 'fall', 'fall', 'laugh', 'fuck', 'em', 'got', 'knee', 'put', 'right', 'back', 'feet', 'could', 'take', 'advantag', 'tell', 'how', 'feel', 'sittin', 'feelin', 'high', 'far', 'away', 'hold', 'know', 'im', 'one', 'put', 'name', 'sky', 'ever', 'get', 'lone', 'thinkin', 'could', 'live', 'without', 'thinkin', 'could', 'live', 'without', 'babi', 'im', 'one', 'put', 'dont', 'know', 'dont', 'know', 'thinkin', 'could', 'live', 'without', 'live', 'without', 'babi', 'im', 'one', 'put', 'dont', 'know', 'dont', 'know', 'might', 'also', 'gave', 'love', 'bout', 'hundr', 'tri', 'hundr', 'tri', 'runnin', 'demon', 'mind', 'took', 'made', 'em', 'mine', 'mine', 'didnt', 'notic', 'caus', 'love', 'blind', 'said', 'id', 'catch', 'fall', 'fall', 'laugh', 'fuck', 'em', 'got', 'knee', 'put', 'right', 'back', 'feet', 'could', 'take', 'advantag', 'tell', 'how', 'feel', 'sittin', 'feelin', 'high', 'far', 'away', 'hold', 'know', 'im', 'one', 'put', 'name', 'sky', 'ever', 'get', 'lone', 'thinkin', 'could', 'live', 'without', 'thinkin', 'could', 'live', 'without', 'babi', 'im', 'one', 'put', 'dont', 'know', 'dont', 'know', 'thinkin', 'could', 'live', 'without', 'live', 'without', 'babi', 'im', 'one', 'put', 'dont', 'know', 'dont', 'say', 'alreadi', 'know', 'know', 'go', 'find', 'ohwoah', 'tell', 'how', 'feel', 'ohwoah', 'tell', 'how', 'feel', 'sittin', 'feelin', 'high', 'far', 'away', 'hold', 'know', 'im', 'one', 'put', 'name', 'sky', 'ever', 'get', 'lone', 'thinkin', 'could', 'live', 'without', 'thinkin', 'could', 'live', 'without', 'babi', 'im', 'one', 'put', 'dont', 'know', 'dont', 'know', 'why197emb']",[],False,"{'neg': 0.08, 'neu': 0.854, 'pos': 0.066, 'compound': -0.0516}",0.08,0.854,0.066,-0.0516
4,9,9,SICKO MODE,Travis Scott,Top Songs of 2019: Canada,"['mode', 'astro', 'sun', 'freezin', 'cold', 'that', 'alreadi', 'know', 'winter', 'dawg', 'would', 'probabl', 'loui', 'belt', 'that', 'know', 'dont', 'know', 'nothin', 'els', 'tri', 'show', 'em', 'tri', 'show', 'em', 'goin', 'pick', 'roll', 'young', 'la', 'flame', 'sicko', 'mode', 'woo', 'made', 'ice', 'booth', 'gate', 'outsid', 'pull', 'get', 'loos', 'jump', 'boy', 'that', 'nike', 'boy', 'hoppin', 'coup', 'shit', 'way', 'big', 'pull', 'give', 'loot', 'gim', 'loot', 'remi', 'papoos', 'hit', 'old', 'town', 'duck', 'news', 'twofour', 'hour', 'lockdown', 'made', 'move', '4', 'im', 'back', 'poppin', 'crew', 'land', 'chase', 'b', 'mix', 'pop', 'jamba', 'juic', 'differ', 'color', 'chain', 'think', 'jewel', 'realli', 'sellin', 'fruit', 'chokin', 'man', 'know', 'cracker', 'wish', 'noos', 'might', 'also', 'somesomesomesomeon', 'said', 'win', 'retreat', 'deep', 'playplayplayin', 'keep', 'dont', 'play', 'us', 'weak', 'someon', 'said', 'win', 'retreat', 'deep', 'playplayplayin', 'keep', 'dont', 'play', 'us', 'weak', 'shit', 'way', 'formal', 'yall', 'know', 'dont', 'follow', 'suit', 'stacey', 'dash', 'girl', 'aint', 'got', 'clue', 'hoe', 'made', 'record', 'produc', 'might', 'take', 'exe', 'put', 'em', 'group', 'hit', 'ese', 'need', 'bootch', 'bout', 'turn', 'function', 'bonnaroo', 'told', 'hop', 'comin', '305', 'bitch', 'treat', 'im', 'uncl', 'luke', 'dont', 'stop', 'pop', 'pussi', 'slop', 'top', 'roof', 'uh', 'said', 'goin', 'said', 'moon', 'aint', 'even', 'make', 'room', 'thought', 'ocean', 'pool', 'got', 'open', 'goos', 'put', 'shit', 'togeth', 'im', 'glue', 'someon', 'said', 'shorti', 'facetim', 'blue', 'someon', 'said', 'playplayin', 'keep', 'someon', 'said', 'mother', 'someon', 'said', 'dont', 'play', 'us', 'weak', 'astro', 'tay', 'keith', 'fuck', 'nigga', 'ayi', 'ayi', 'she', 'love', 'back', 'high', 'school', 'use', 'bu', 'danc', 'hit', 'fbo', 'duffel', 'hand', 'half', 'xan', 'thirteen', 'hour', 'til', 'land', 'light', 'ayi', 'light', 'ayi', 'light', 'ayi', 'slept', 'flight', 'ayi', 'knock', 'night', 'ayi', '767', 'man', 'shit', 'got', 'doubl', 'bedroom', 'man', 'still', 'got', 'score', 'settl', 'man', 'crept', 'block', 'block', 'made', 'right', 'right', 'cut', 'light', 'paid', 'price', 'nigga', 'think', 'sweet', 'nah', 'never', 'sight', 'nothin', 'nice', 'baguett', 'ice', 'aw', 'man', 'jesu', 'christ', 'check', 'stripe', 'that', 'that', 'lost', 'respect', 'threat', 'shoot', 'shot', 'shit', 'wetti', 'im', 'sheck', 'bitch', 'see', 'shot', 'took', 'ayi', 'wet', 'im', 'book', 'ayi', 'wet', 'im', 'lizzi', 'spinnin', 'valley', 'circl', 'block', 'til', 'im', 'dizzi', 'one', 'seen', 'im', 'tryna', 'clean', 'em', 'she', 'love', 'back', 'high', 'school', 'use', 'bu', 'danc', 'hit', 'fbo', 'duffel', 'hand', 'woo', 'half', 'xan', 'thirteen', 'hour', 'til', 'land', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'pass', 'dawg', 'celli', 'sendin', 'text', 'aint', 'sendin', 'kite', 'said', 'keep', 'lock', 'say', 'know', 'shit', 'stife', 'absolut', 'im', 'back', 'reboot', 'lit', 'laferrari', 'jamba', 'juic', 'skrrt', 'skrrt', 'back', 'road', 'jumpin', 'parachut', 'shorti', 'back', 'said', 'workin', 'glute', 'oh', 'god', 'aint', 'book', 'look', 'bout', 'check', 'check', 'check', 'foot', 'pass', 'daughter', 'ima', 'show', 'took', 'babi', 'mama', 'cover', 'forb', 'got', 'bitch', 'shook']",[],False,"{'neg': 0.139, 'neu': 0.733, 'pos': 0.129, 'compound': -0.6941}",0.139,0.733,0.129,-0.6941
5,10,10,I Don't Care,"Ed Sheeran, Justin Bieber",Top Songs of 2019: Canada,"['dont', 'care', 'im', 'parti', 'dont', 'wan', 'na', 'dont', 'ever', 'wear', 'suit', 'tie', 'wonderin', 'could', 'sneak', 'back', 'nobodi', 'even', 'lookin', 'eye', 'take', 'hand', 'finish', 'drink', 'say', 'shall', 'danc', 'hell', 'know', 'love', 'ya', 'ever', 'tell', 'ya', 'make', 'better', 'dont', 'think', 'fit', 'parti', 'everyon', 'got', 'much', 'say', 'alway', 'feel', 'im', 'nobodi', 'mmm', 'want', 'fit', 'anyway', 'caus', 'dont', 'care', 'im', 'babi', 'bad', 'thing', 'disappear', 'your', 'make', 'feel', 'mayb', 'somebodi', 'deal', 'bad', 'night', 'im', 'babi', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'caus', 'dont', 'care', 'long', 'hold', 'near', 'take', 'anywher', 'your', 'make', 'feel', 'im', 'love', 'somebodi', 'deal', 'bad', 'night', 'im', 'babi', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'might', 'also', 'parti', 'dont', 'wan', 'na', 'tryna', 'talk', 'cant', 'hear', 'read', 'lip', 'id', 'rather', 'kiss', 'em', 'right', 'back', 'peopl', 'around', 'im', 'crippl', 'anxieti', 'im', 'told', 'im', 'spose', 'know', 'kinda', 'crazi', 'caus', 'realli', 'dont', 'mind', 'make', 'better', 'dont', 'think', 'fit', 'parti', 'everyon', 'got', 'much', 'say', 'oh', 'walk', 'said', 'im', 'sorri', 'mmm', 'think', 'stay', 'caus', 'dont', 'care', 'im', 'babi', 'bad', 'thing', 'disappear', 'your', 'make', 'feel', 'mayb', 'somebodi', 'deal', 'bad', 'night', 'im', 'babi', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'oh', 'caus', 'dont', 'care', 'long', 'hold', 'near', 'take', 'anywher', 'your', 'make', 'feel', 'im', 'love', 'somebodi', 'deal', 'bad', 'night', 'im', 'babi', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'dont', 'nobodi', 'your', 'one', 'dont', 'nobodi', 'babi', 'dont', 'care', 'dont', 'nobodi', 'hate', 'everyon', 'dont', 'nobodi', 'babi', 'caus', 'dont', 'care', 'dont', 'care', 'im', 'babi', 'oh', 'bad', 'thing', 'disappear', 'disappear', 'your', 'make', 'feel', 'mayb', 'somebodi', 'mayb', 'im', 'somebodi', 'deal', 'bad', 'night', 'bad', 'night', 'im', 'babi', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'oh', 'caus', 'dont', 'care', 'long', 'hold', 'near', 'near', 'take', 'anywher', 'anywher', 'anywher', 'your', 'make', 'feel', 'im', 'love', 'somebodi', 'im', 'love', 'somebodi', 'deal', 'bad', 'night', 'im', 'babi', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh', 'ooh84emb']",[],False,"{'neg': 0.214, 'neu': 0.683, 'pos': 0.103, 'compound': -0.9873}",0.214,0.683,0.103,-0.9873
6,13,13,Eastside,"benny blanco, Halsey, Khalid",Top Songs of 2019: Canada,"['uh', 'young', 'fell', 'love', 'use', 'hold', 'hand', 'man', 'enough', 'grew', 'start', 'touch', 'use', 'kiss', 'underneath', 'light', 'back', 'bu', 'know', 'daddi', 'didnt', 'much', 'didnt', 'believ', 'said', 'one', 'oh', 'everi', 'day', 'found', 'way', 'window', 'sneak', 'late', 'use', 'meet', 'eastsid', 'citi', 'sun', 'dont', 'set', 'everi', 'day', 'know', 'wed', 'ride', 'backstreet', 'blue', 'corvett', 'babi', 'know', 'wan', 'na', 'leav', 'tonight', 'go', 'anywher', 'want', 'drive', 'coast', 'jump', 'sea', 'take', 'hand', 'come', 'anyth', 'put', 'mind', 'take', 'old', 'life', 'put', 'line', 'love', 'your', 'will', 'take', 'give', 'heart', 'caus', 'aint', 'gon', 'na', 'break', 'come', 'away', 'start', 'today', 'start', 'new', 'life', 'togeth', 'differ', 'place', 'know', 'love', 'idea', 'came', 'babi', 'run', 'away', 'might', 'also', 'seventeen', 'got', 'dream', 'famili', 'hous', 'everyth', 'oh', 'suddenli', 'turn', 'twentythre', 'got', 'pressur', 'take', 'life', 'serious', 'got', 'deadend', 'job', 'got', 'bill', 'pay', 'old', 'friend', 'enemi', 'im', 'think', 'back', 'young', 'back', 'day', 'fall', 'love', 'use', 'meet', 'eastsid', 'citi', 'sun', 'dont', 'set', 'everi', 'day', 'know', 'wed', 'ride', 'backstreet', 'blue', 'corvett', 'babi', 'know', 'wan', 'na', 'leav', 'tonight', 'go', 'anywher', 'want', 'drive', 'coast', 'jump', 'sea', 'take', 'hand', 'come', 'sing', 'anyth', 'put', 'mind', 'take', 'old', 'life', 'put', 'line', 'love', 'your', 'will', 'take', 'give', 'heart', 'caus', 'aint', 'gon', 'na', 'break', 'come', 'away', 'start', 'today', 'start', 'new', 'life', 'togeth', 'differ', 'place', 'know', 'love', 'idea', 'came', 'babi', 'run', 'away', 'run', 'away', 'run', 'away', 'run', 'away', 'run', 'away', 'run', 'away', 'run', 'away', 'use', 'meet', 'eastsid', 'use', 'meet', 'eastsid', 'use', 'meet', 'eastsid', 'use', 'meet', 'eastsid', 'citi', 'sun', 'dont', 'set124emb']",[],False,"{'neg': 0.01, 'neu': 0.817, 'pos': 0.173, 'compound': 0.9921}",0.01,0.817,0.173,0.9921
7,15,15,Drip Too Hard,"Lil Baby, Gunna",Top Songs of 2019: Canada,"['hard', 'run', 'back', 'turbo', 'get', 'biggest', 'chanel', 'bag', 'store', 'want', 'gave', 'em', 'drip', 'suck', 'got', 'em', 'moanin', 'bought', 'new', 'patek', 'watch', 'twoton', 'em', 'takin', 'drug', 'im', 'gon', 'mornin', 'aint', 'car', 'leaser', 'dont', 'im', 'club', 'got', 'fire', 'im', 'performin', 'backend', 'came', 'hundr', 'vibe', 'galor', 'cute', 'shit', 'us', 'im', 'atlanta', 'young', 'nigga', 'run', 'shit', 'know', 'hatin', 'dont', 'read', 'comment', 'whenev', 'tell', 'come', 'comin', 'whenev', 'smoke', 'aint', 'runnin', 'drip', 'hard', 'dont', 'stand', 'close', 'gon', 'fuck', 'around', 'drown', 'wave', 'doin', 'show', 'ive', 'road', 'dont', 'care', 'go', 'long', 'get', 'paid', 'bad', 'lil', 'vibe', 'mind', 'soon', 'get', 'back', 'gettin', 'slay', 'time', 'aint', 'surpris', 'everi', 'night', 'anoth', 'movi', 'gettin', 'made', 'drip', 'hard', 'dont', 'stand', 'close', 'gon', 'fuck', 'around', 'drown', 'wave', 'doin', 'show', 'ive', 'road', 'dont', 'care', 'go', 'long', 'get', 'paid', 'bad', 'lil', 'vibe', 'mind', 'soon', 'get', 'back', 'gettin', 'slay', 'time', 'aint', 'surpris', 'everi', 'night', 'anoth', 'movi', 'gettin', 'made', 'might', 'also', 'everi', 'night', 'anoth', 'dollar', 'gettin', 'made', 'everi', 'night', 'start', 'good', 'day', 'feel', 'child', 'got', 'booger', 'face', 'diamond', 'dancin', 'dial', 'shit', 'parad', 'dont', 'want', 'chain', 'young', 'gonwunna', 'slave', 'draw', 'line', 'mani', 'bitch', 'gettin', 'save', 'tsa', 'harass', 'took', 'privat', 'plane', 'pussi', 'nigga', 'lackin', 'im', 'workin', 'aim', 'drip', 'hard', 'hard', 'charg', 'card', 'card', 'design', 'ground', 'bare', 'spell', 'name', 'drip', 'hard', 'caution', 'floor', 'gon', 'fuck', 'around', 'drown', 'tryna', 'ride', 'nigga', 'wave', 'drip', 'hard', 'dont', 'stand', 'close', 'gon', 'fuck', 'around', 'drown', 'wave', 'doin', 'show', 'ive', 'road', 'dont', 'care', 'go', 'long', 'get', 'paid', 'bad', 'lil', 'vibe', 'mind', 'soon', 'get', 'back', 'gettin', 'slay', 'time', 'aint', 'surpris', 'everi', 'night', 'anoth', 'movi', 'gettin', 'made', 'drip', 'hard', 'dont', 'stand', 'close', 'gon', 'fuck', 'around', 'drown', 'wave', 'doin', 'show', 'ive', 'road', 'dont', 'care', 'go', 'long', 'get', 'paid', 'bad', 'lil', 'vibe', 'mind', 'soon', 'get', 'back', 'gettin', 'slay', 'time', 'aint', 'surpris', 'everi', 'night', 'anoth', 'movi', 'gettin', 'made152emb']",[],False,"{'neg': 0.266, 'neu': 0.694, 'pos': 0.04, 'compound': -0.9974}",0.266,0.694,0.04,-0.9974
8,16,16,Someone You Loved,Lewis Capaldi,Top Songs of 2019: Canada,"['love', 'im', 'go', 'time', 'fear', 'there', 'one', 'save', 'noth', 'realli', 'got', 'way', 'drive', 'crazi', 'need', 'somebodi', 'hear', 'somebodi', 'know', 'somebodi', 'somebodi', 'hold', 'easi', 'say', 'never', 'guess', 'kinda', 'way', 'numb', 'pain', 'day', 'bleed', 'nightfal', 'your', 'get', 'let', 'guard', 'pull', 'rug', 'get', 'kinda', 'use', 'someon', 'love', 'im', 'go', 'time', 'fear', 'there', 'one', 'turn', 'noth', 'way', 'love', 'got', 'sleep', 'without', 'need', 'somebodi', 'know', 'somebodi', 'hear', 'somebodi', 'know', 'feel', 'easi', 'say', 'never', 'guess', 'kinda', 'way', 'help', 'escap', 'day', 'bleed', 'nightfal', 'your', 'get', 'let', 'guard', 'pull', 'rug', 'get', 'kinda', 'use', 'someon', 'love', 'might', 'also', 'tend', 'close', 'eye', 'hurt', 'sometim', 'fall', 'arm', 'ill', 'safe', 'sound', 'till', 'come', 'back', 'around', 'day', 'bleed', 'nightfal', 'your', 'get', 'let', 'guard', 'pull', 'rug', 'get', 'kinda', 'use', 'someon', 'love', 'day', 'bleed', 'nightfal', 'your', 'get', 'let', 'guard', 'pull', 'rug', 'get', 'kinda', 'use', 'someon', 'love', 'let', 'guard', 'pull', 'rug', 'get', 'kinda', 'use', 'someon', 'loved168emb']",[],False,"{'neg': 0.101, 'neu': 0.708, 'pos': 0.191, 'compound': 0.9582}",0.101,0.708,0.191,0.9582
9,18,18,Money In The Grave (feat. Rick Ross),Drake,Top Songs of 2019: Canada,"['liam', 'payn', 'exclus', 'playlist', 'feat', 'boogi', 'wit', 'da', 'hoodi', 'liam', 'payn', 'circl', 'post', 'malon', 'guidanc', 'feat', 'drake', 'chri', 'brown', 'tap', 'feat', 'meek', 'mill', 'nav', 'money', 'grave', 'feat', 'rick', 'ross', 'drake', 'motiv', 'normani', 'right', 'back', 'feat', 'boogi', 'wit', 'da', 'hoodi', 'khalid', 'honest', 'feat', 'burna', 'boy', 'jorja', 'smith', 'ladbrok', 'grove', 'aj', 'tracey', 'want', 'feat', 'sadi', 'ama', 'tom', 'zanetti', 'piec', 'heart', 'feat', 'goodboy', 'meduza', 'strip', 'feat', 'quavo', 'liam', 'payn', 'familiar', 'liam', 'payn', 'j', 'balvin', 'polaroid', 'jona', 'blue', 'liam', 'payn', 'lennon', 'stella', 'fifti', 'shade', 'freed', 'liam', 'payn', 'rita', 'oraemb']",[],False,"{'neg': 0.029, 'neu': 0.89, 'pos': 0.081, 'compound': 0.5719}",0.029,0.89,0.081,0.5719
