,songs,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
0,Old Town Road (feat. Billy Ray Cyrus) [Remix],Lil Nas X,Top Songs of 2019: USA,0.881,0.58,6.0,-5.613,1.0,0.108,0.0529,0.0,0.11,0.62,136.055,155387.0,17.0
1,Sunflower (Spider-Man: Into the Spider-Verse),"Post Malone, Swae Lee",Top Songs of 2019: USA,0.76,0.479,2.0,-5.574,1.0,0.0466,0.556,0.0,0.0703,0.913,89.911,158040.0,79.0
2,Going Bad (feat. Drake),Meek Mill,Top Songs of 2019: USA,0.889,0.496,4.0,-6.365,0.0,0.0905,0.259,0.0,0.252,0.544,86.003,180522.0,75.0
3,Drip Too Hard,"Lil Baby, Gunna",Top Songs of 2019: USA,0.897,0.662,1.0,-6.903,0.0,0.292,0.0852,0.0,0.534,0.389,112.511,145543.0,81.0
4,"thank u, next",Ariana Grande,Top Songs of 2019: USA,0.717,0.653,1.0,-5.634,1.0,0.0658,0.229,0.0,0.101,0.412,106.966,207320.0,78.0
5,MIDDLE CHILD,J. Cole,Top Songs of 2019: USA,0.837,0.364,8.0,-11.713,1.0,0.276,0.149,0.0,0.271,0.463,123.984,213594.0,78.0
6,SICKO MODE,Travis Scott,Top Songs of 2019: USA,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008,312820.0,79.0
7,Suge,DaBaby,Top Songs of 2019: USA,0.876,0.662,2.0,-6.482,0.0,0.426,0.0608,0.0,0.127,0.844,75.445,163320.0,67.0
8,7 rings,Ariana Grande,Top Songs of 2019: USA,0.778,0.317,1.0,-10.732,0.0,0.334,0.592,0.0,0.0881,0.327,140.048,178627.0,81.0
9,Wow.,Post Malone,Top Songs of 2019: USA,0.829,0.539,11.0,-7.359,0.0,0.208,0.136,1.78e-06,0.103,0.388,99.96,149547.0,78.0
10,No Guidance (feat. Drake),Chris Brown,Top Songs of 2019: USA,0.696,0.454,1.0,-6.756,0.0,0.153,0.123,0.0,0.155,0.136,92.928,260640.0,75.0
11,Swervin (feat. 6ix9ine),A Boogie wit da Hoodie,Top Songs of 2019: USA,0.581,0.662,9.0,-5.239,1.0,0.303,0.0153,0.0,0.111,0.434,93.023,189487.0,70.0
12,Without Me,Halsey,Top Songs of 2019: USA,0.752,0.488,6.0,-7.05,1.0,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661.0,78.0
13,Truth Hurts,Lizzo,Top Songs of 2019: USA,0.715,0.624,4.0,-3.046,0.0,0.114,0.11,0.0,0.123,0.412,158.087,173325.0,72.0
14,Envy Me,Calboy,Top Songs of 2019: USA,0.74,0.488,1.0,-7.664,0.0,0.27,0.234,0.0,0.241,0.584,149.042,120133.0,66.0
15,Murder on My Mind,YNW Melly,Top Songs of 2019: USA,0.759,0.73,0.0,-7.985,0.0,0.0516,0.145,3.06e-06,0.11,0.74,115.007,268434.0,74.0
16,ZEZE (feat. Travis Scott & Offset),Kodak Black,Top Songs of 2019: USA,0.861,0.603,8.0,-5.788,0.0,0.176,0.0521,0.0,0.0924,0.504,98.043,228760.0,73.0
17,Money,Cardi B,Top Songs of 2019: USA,0.95,0.59,8.0,-6.508,0.0,0.29,0.00534,0.0,0.11,0.219,130.003,183527.0,69.0
18,Better,Khalid,Top Songs of 2019: USA,0.596,0.552,0.0,-10.278,0.0,0.097,0.0765,0.334,0.104,0.112,97.949,229320.0,74.0
19,bad guy,Billie Eilish,Top Songs of 2019: USA,0.701,0.425,7.0,-10.965,1.0,0.375,0.328,0.13,0.1,0.562,135.128,194088.0,79.0
20,Talk,Khalid,Top Songs of 2019: USA,0.9,0.4,0.0,-8.575,1.0,0.127,0.0516,0.0,0.0599,0.346,135.984,197573.0,67.0
21,a lot,21 Savage,Top Songs of 2019: USA,0.837,0.636,1.0,-7.643,1.0,0.086,0.0395,0.00125,0.342,0.274,145.972,288624.0,78.0
