,songs,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
0,Wow.,Post Malone,Top Songs of 2019: Canada,0.829,0.539,11.0,-7.359,0.0,0.208,0.136,1.78e-06,0.103,0.388,99.96,149547.0,78.0
1,7 rings,Ariana Grande,Top Songs of 2019: Canada,0.778,0.317,1.0,-10.732,0.0,0.334,0.592,0.0,0.0881,0.327,140.048,178627.0,82.0
2,Shallow,"Lady Gaga, Bradley Cooper",Top Songs of 2019: Canada,0.572,0.385,7.0,-6.362,1.0,0.0308,0.371,0.0,0.231,0.323,95.799,215733.0,81.0
3,Without Me,Halsey,Top Songs of 2019: Canada,0.752,0.488,6.0,-7.05,1.0,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661.0,78.0
4,SICKO MODE,Travis Scott,Top Songs of 2019: Canada,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008,312820.0,79.0
6,Eastside,"benny blanco, Halsey, Khalid",Top Songs of 2019: Canada,0.632,0.686,6.0,-7.665,0.0,0.243,0.549,0.0,0.2,0.329,89.949,170770.0,76.0
7,Drip Too Hard,"Lil Baby, Gunna",Top Songs of 2019: Canada,0.897,0.662,1.0,-6.903,0.0,0.292,0.0852,0.0,0.534,0.389,112.511,145543.0,81.0
8,Someone You Loved,Lewis Capaldi,Top Songs of 2019: Canada,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,182161.0,85.0
10,Look Back at It,A Boogie wit da Hoodie,Top Songs of 2019: Canada,0.791,0.587,3.0,-5.075,0.0,0.0413,0.407,0.0,0.148,0.536,96.057,179449.0,71.0
11,MIDDLE CHILD,J. Cole,Top Songs of 2019: Canada,0.837,0.364,8.0,-11.713,1.0,0.276,0.149,0.0,0.271,0.463,123.984,213594.0,79.0
12,Better,Khalid,Top Songs of 2019: Canada,0.596,0.552,0.0,-10.278,0.0,0.097,0.0765,0.334,0.104,0.112,97.949,229320.0,75.0
13,Truth Hurts,Lizzo,Top Songs of 2019: Canada,0.715,0.624,4.0,-3.046,0.0,0.114,0.11,0.0,0.123,0.412,158.087,173325.0,72.0
14,Pure Water,"Mustard, Migos",Top Songs of 2019: Canada,0.682,0.559,0.0,-5.545,1.0,0.127,0.174,0.0,0.344,0.137,202.015,192471.0,73.0
15,"break up with your girlfriend, i'm bored",Ariana Grande,Top Songs of 2019: Canada,0.726,0.554,5.0,-5.29,0.0,0.0917,0.0421,0.0,0.106,0.335,169.999,190440.0,74.0
16,Murder on My Mind,YNW Melly,Top Songs of 2019: Canada,0.759,0.73,0.0,-7.985,0.0,0.0516,0.145,3.06e-06,0.11,0.74,115.007,268434.0,75.0
17,No Guidance (feat. Drake),Chris Brown,Top Songs of 2019: Canada,0.696,0.454,1.0,-6.756,0.0,0.153,0.123,0.0,0.155,0.136,92.928,260640.0,76.0
18,Body (feat. brando),Loud Luxury,Top Songs of 2019: Canada,0.751,0.763,1.0,-4.393,1.0,0.0397,0.051,2.23e-05,0.0593,0.593,121.99,162947.0,16.0
19,Taste (feat. Offset),Tyga,Top Songs of 2019: Canada,0.884,0.559,0.0,-7.442,1.0,0.12,0.0236,0.0,0.101,0.342,97.994,232959.0,69.0
20,Nonstop,Drake,Top Songs of 2019: Canada,0.912,0.412,7.0,-8.074,1.0,0.123,0.0165,0.0126,0.104,0.423,154.983,238614.0,75.0
21,Be Alright,Dean Lewis,Top Songs of 2019: Canada,0.553,0.586,11.0,-6.319,1.0,0.0362,0.697,0.0,0.0813,0.443,126.684,196373.0,76.0
22,I Like It,"Cardi B, Bad Bunny, J Balvin",Top Songs of 2019: Canada,0.816,0.726,5.0,-3.998,0.0,0.129,0.099,0.0,0.372,0.65,136.048,253390.0,75.0
23,One Thing Right,"Marshmello, Kane Brown",Top Songs of 2019: Canada,0.659,0.625,4.0,-2.253,1.0,0.045,0.0644,0.0,0.582,0.442,88.042,181824.0,69.0
24,Saturday Nights,Khalid,Top Songs of 2019: Canada,0.551,0.44,10.0,-8.559,1.0,0.0985,0.606,3.02e-05,0.11,0.341,167.923,210667.0,67.0
25,Tequila,Dan + Shay,Top Songs of 2019: Canada,0.489,0.581,11.0,-5.731,1.0,0.0281,0.0312,0.0,0.132,0.494,86.016,196747.0,67.0
26,If I Can't Have You,Shawn Mendes,Top Songs of 2019: Canada,0.69,0.809,2.0,-4.198,1.0,0.0603,0.524,0.0,0.147,0.864,123.912,190800.0,0.0
27,Money,Cardi B,Top Songs of 2019: Canada,0.95,0.59,8.0,-6.508,0.0,0.29,0.00534,0.0,0.11,0.219,130.003,183527.0,69.0
28,Whiskey Glasses,Morgan Wallen,Top Songs of 2019: Canada,0.614,0.68,6.0,-4.58,1.0,0.0289,0.369,1.84e-06,0.115,0.707,149.959,234347.0,77.0
29,Beautiful Crazy,Luke Combs,Top Songs of 2019: Canada,0.551,0.402,11.0,-7.431,1.0,0.0262,0.676,0.0,0.0928,0.382,103.313,193200.0,77.0
32,Leave Me Alone,Flipp Dinero,Top Songs of 2019: Canada,0.792,0.743,7.0,-2.806,1.0,0.0851,0.107,0.0,0.183,0.742,150.024,195637.0,67.0
33,SOS (feat. Aloe Blacc),Avicii,Top Songs of 2019: Canada,0.802,0.645,5.0,-6.181,0.0,0.0715,0.272,0.0,0.119,0.376,100.001,157202.0,69.0
34,Knockin' Boots,Luke Bryan,Top Songs of 2019: Canada,0.728,0.682,2.0,-3.749,1.0,0.218,0.127,0.0,0.337,0.643,131.901,200067.0,62.0
35,Suge,DaBaby,Top Songs of 2019: Canada,0.876,0.662,2.0,-6.482,0.0,0.426,0.0608,0.0,0.127,0.844,75.445,163320.0,68.0
37,Thotiana,Blueface,Top Songs of 2019: Canada,0.906,0.382,10.0,-12.89,0.0,0.269,0.18,0.0,0.113,0.391,104.025,129264.0,63.0
38,Beautiful People (feat. Khalid),Ed Sheeran,Top Songs of 2019: Canada,0.64,0.648,5.0,-8.113,0.0,0.187,0.124,0.0,0.0802,0.548,92.977,197867.0,71.0
39,lovely,"Billie Eilish, Khalid",Top Songs of 2019: Canada,0.351,0.296,4.0,-10.109,0.0,0.0333,0.934,0.0,0.095,0.12,115.284,200186.0,85.0
40,Pure Cocaine,Lil Baby,Top Songs of 2019: Canada,0.964,0.487,10.0,-6.071,0.0,0.421,0.00127,6.57e-06,0.115,0.107,127.05,154024.0,79.0
41,Noticed,Lil Mosey,Top Songs of 2019: Canada,0.699,0.558,11.0,-7.622,1.0,0.0603,0.462,0.0,0.116,0.493,79.992,165000.0,71.0
42,rockstar (feat. 21 Savage),Post Malone,Top Songs of 2019: Canada,0.585,0.52,5.0,-6.136,0.0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,218147.0,81.0
43,You Need To Calm Down,Taylor Swift,Top Songs of 2019: Canada,0.771,0.671,2.0,-5.617,1.0,0.0553,0.00929,0.0,0.0637,0.714,85.026,171360.0,73.0
44,Beer Never Broke My Heart,Luke Combs,Top Songs of 2019: Canada,0.538,0.863,1.0,-4.483,1.0,0.0481,0.0139,0.0,0.0874,0.637,77.001,186733.0,74.0
45,Tap (feat. Meek Mill),NAV,Top Songs of 2019: Canada,0.901,0.676,2.0,-7.033,1.0,0.251,0.0646,0.0,0.0863,0.452,85.018,148278.0,61.0
46,Lalala,"Y2K, bbno$",Top Songs of 2019: Canada,0.843,0.39,2.0,-7.899,1.0,0.0846,0.178,0.0,0.137,0.495,129.972,160627.0,71.0
47,Armed and Dangerous,Juice WRLD,Top Songs of 2019: Canada,0.736,0.67,10.0,-6.702,1.0,0.311,0.186,0.0,0.114,0.845,130.032,169999.0,75.0
48,Speechless,Dan + Shay,Top Songs of 2019: Canada,0.616,0.438,1.0,-5.968,1.0,0.0298,0.356,0.0,0.24,0.386,135.929,213387.0,68.0
49,Faucet Failure,Ski Mask the Slump God,Top Songs of 2019: Canada,0.935,0.552,10.0,-9.373,0.0,0.335,0.111,0.0,0.0952,0.615,99.993,145627.0,71.0
50,The Git Up,Blanco Brown,Top Songs of 2019: Canada,0.847,0.678,9.0,-8.635,1.0,0.109,0.0669,0.0,0.274,0.811,97.984,200594.0,65.0
51,Circles,Post Malone,Top Songs of 2019: Canada,0.695,0.762,0.0,-3.497,1.0,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280.0,83.0
52,Love No More,"Loud Luxury, anders",Top Songs of 2019: Canada,0.766,0.674,0.0,-6.245,1.0,0.0538,0.0217,5.87e-05,0.258,0.214,121.012,168636.0,57.0
53,Look What God Gave Her,Thomas Rhett,Top Songs of 2019: Canada,0.739,0.85,2.0,-3.966,1.0,0.0308,0.0272,0.0,0.181,0.883,113.0,168960.0,67.0
54,Panini,Lil Nas X,Top Songs of 2019: Canada,0.703,0.594,5.0,-6.146,0.0,0.0752,0.342,0.0,0.123,0.475,153.848,114893.0,67.0
55,Freaky,Tory Lanez,Top Songs of 2019: Canada,0.966,0.563,8.0,-5.764,1.0,0.0618,0.00202,0.0,0.105,0.363,104.991,173926.0,52.0
56,Nice For What,Drake,Top Songs of 2019: Canada,0.585,0.909,8.0,-6.474,1.0,0.0707,0.0891,9.7e-05,0.119,0.758,93.372,210747.0,75.0
57,Robbery,Juice WRLD,Top Songs of 2019: Canada,0.623,0.692,2.0,-5.122,1.0,0.0504,0.328,0.0,0.153,0.566,79.899,240051.0,78.0
58,Dance Monkey,Tones And I,Top Songs of 2020: Canada,0.824,0.588,6.0,-6.4,0.0,0.0924,0.692,0.000104,0.149,0.513,98.027,209438.0,74.0
59,Circles,Post Malone,Top Songs of 2020: Canada,0.695,0.762,0.0,-3.497,1.0,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280.0,83.0
60,ROXANNE,Arizona Zervas,Top Songs of 2020: Canada,0.621,0.601,6.0,-5.616,0.0,0.148,0.0522,0.0,0.46,0.457,116.735,163636.0,74.0
61,Someone You Loved,Lewis Capaldi,Top Songs of 2020: Canada,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,182161.0,85.0
62,Watermelon Sugar,Harry Styles,Top Songs of 2020: Canada,0.548,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39,174000.0,85.0
63,Ride It,Regard,Top Songs of 2020: Canada,0.88,0.751,7.0,-4.258,0.0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,157606.0,76.0
64,HIGHEST IN THE ROOM,Travis Scott,Top Songs of 2020: Canada,0.598,0.427,7.0,-8.764,0.0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721.0,79.0
65,Before You Go,Lewis Capaldi,Top Songs of 2020: Canada,0.459,0.575,3.0,-4.858,1.0,0.0573,0.604,0.0,0.0885,0.183,111.881,215107.0,81.0
66,Adore You,Harry Styles,Top Songs of 2020: Canada,0.676,0.771,8.0,-3.675,1.0,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133.0,82.0
67,everything i wanted,Billie Eilish,Top Songs of 2020: Canada,0.704,0.225,6.0,-14.454,0.0,0.0994,0.902,0.657,0.106,0.243,120.006,245426.0,81.0
68,Falling,Trevor Daniel,Top Songs of 2020: Canada,0.785,0.431,10.0,-8.756,0.0,0.0364,0.123,0.0,0.0887,0.236,127.085,159382.0,75.0
69,If the World Was Ending (feat. Julia Michaels),JP Saxe,Top Songs of 2020: Canada,0.464,0.473,1.0,-10.086,1.0,0.129,0.866,0.0,0.109,0.604,75.801,208687.0,74.0
70,Memories,Maroon 5,Top Songs of 2020: Canada,0.775,0.327,11.0,-7.241,1.0,0.0557,0.841,0.0,0.0821,0.595,91.05,189486.0,82.0
71,Toosie Slide,Drake,Top Songs of 2020: Canada,0.834,0.454,1.0,-9.75,0.0,0.201,0.321,6.15e-06,0.114,0.837,81.618,247059.0,70.0
72,Bandit,"Juice WRLD, YoungBoy Never Broke Again",Top Songs of 2020: Canada,0.474,0.631,5.0,-5.884,0.0,0.343,0.0687,0.0,0.132,0.425,180.051,189323.0,71.0
73,"10,000 Hours","Dan + Shay, Justin Bieber",Top Songs of 2020: Canada,0.654,0.63,10.0,-4.644,1.0,0.0259,0.153,0.0,0.111,0.43,89.991,167693.0,74.0
