,songs,artist,title
0,Old Town Road (feat. Billy Ray Cyrus) [Remix],Lil Nas X,Top Songs of 2019: USA
1,Sunflower (Spider-Man: Into the Spider-Verse),"Post Malone, Swae Lee",Top Songs of 2019: USA
2,Going Bad (feat. Drake),Meek Mill,Top Songs of 2019: USA
3,Drip Too Hard,"Lil Baby, Gunna",Top Songs of 2019: USA
4,"thank u, next",Ariana Grande,Top Songs of 2019: USA
5,MIDDLE CHILD,J. Cole,Top Songs of 2019: USA
6,SICKO MODE,Travis Scott,Top Songs of 2019: USA
7,Suge,DaBaby,Top Songs of 2019: USA
8,7 rings,Ariana Grande,Top Songs of 2019: USA
9,Wow.,Post Malone,Top Songs of 2019: USA
10,No Guidance (feat. Drake),Chris Brown,Top Songs of 2019: USA
11,Swervin (feat. 6ix9ine),A Boogie wit da Hoodie,Top Songs of 2019: USA
12,Without Me,Halsey,Top Songs of 2019: USA
13,Truth Hurts,Lizzo,Top Songs of 2019: USA
14,Envy Me,Calboy,Top Songs of 2019: USA
15,Murder on My Mind,YNW Melly,Top Songs of 2019: USA
16,ZEZE (feat. Travis Scott & Offset),Kodak Black,Top Songs of 2019: USA
17,Money,Cardi B,Top Songs of 2019: USA
18,Better,Khalid,Top Songs of 2019: USA
19,bad guy,Billie Eilish,Top Songs of 2019: USA
20,Talk,Khalid,Top Songs of 2019: USA
21,a lot,21 Savage,Top Songs of 2019: USA
22,Money In The Grave (feat. Rick Ross),Drake,Top Songs of 2019: USA
23,Pop Out (feat. Lil Tjay),Polo G,Top Songs of 2019: USA
24,Pure Cocaine,Lil Baby,Top Songs of 2019: USA
25,Look Back at It,A Boogie wit da Hoodie,Top Songs of 2019: USA
26,Thotiana,Blueface,Top Songs of 2019: USA
27,Act Up,City Girls,Top Songs of 2019: USA
28,Mo Bamba,Sheck Wes,Top Songs of 2019: USA
29,The London (feat. J. Cole & Travis Scott),Young Thug,Top Songs of 2019: USA
30,Yes Indeed,"Lil Baby, Drake",Top Songs of 2019: USA
31,when the party's over,Billie Eilish,Top Songs of 2019: USA
32,Slime Belief,YoungBoy Never Broke Again,Top Songs of 2019: USA
33,Shallow,"Lady Gaga, Bradley Cooper",Top Songs of 2019: USA
34,Ransom,Lil Tecca,Top Songs of 2019: USA
35,"break up with your girlfriend, i'm bored",Ariana Grande,Top Songs of 2019: USA
36,Close Friends,Lil Baby,Top Songs of 2019: USA
37,Nonstop,Drake,Top Songs of 2019: USA
38,Goodbyes (feat. Young Thug),Post Malone,Top Songs of 2019: USA
39,Sanguine Paradise,Lil Uzi Vert,Top Songs of 2019: USA
40,Happier,"Marshmello, Bastille",Top Songs of 2019: USA
41,MÍA (feat. Drake),Bad Bunny,Top Songs of 2019: USA
42,Calling My Spirit,Kodak Black,Top Songs of 2019: USA
43,Pure Water,"Mustard, Migos",Top Songs of 2019: USA
44,Wake Up in the Sky,"Gucci Mane, Bruno Mars, Kodak Black",Top Songs of 2019: USA
45,Lucid Dreams,Juice WRLD,Top Songs of 2019: USA
46,Mixed Personalities (feat. Kanye West),YNW Melly,Top Songs of 2019: USA
47,Worth It,YK Osiris,Top Songs of 2019: USA
48,Baby,"Quality Control, Lil Baby, DaBaby",Top Songs of 2019: USA
49,Speechless,Dan + Shay,Top Songs of 2019: USA
50,Die Young,Roddy Ricch,Top Songs of 2019: USA
51,Trip,Ella Mai,Top Songs of 2019: USA
52,I Like It,"Cardi B, Bad Bunny, J Balvin",Top Songs of 2019: USA
53,Señorita,"Shawn Mendes, Camila Cabello",Top Songs of 2019: USA
54,10 Freaky Girls (feat. 21 Savage),Metro Boomin,Top Songs of 2019: USA
55,Someone You Loved,Lewis Capaldi,Top Songs of 2019: USA
56,Space Cadet (feat. Gunna),Metro Boomin,Top Songs of 2019: USA
57,Please Me,"Cardi B, Bruno Mars",Top Songs of 2019: USA
58,Cash Shit (feat. DaBaby),Megan Thee Stallion,Top Songs of 2019: USA
