,songs,artist_x,title,artist_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,country
0,Drip Too Hard,"Lil Baby, Gunna",Top Songs of 2019: USA,"Lil Baby, Gunna",0.897,0.662,1.0,-6.903,0.0,0.292,0.0852,0.0,0.534,0.389,112.511,2019,USA
4,MIDDLE CHILD,J. Cole,Top Songs of 2019: USA,J. Cole,0.837,0.364,8.0,-11.713,1.0,0.276,0.149,0.0,0.271,0.463,123.984,2019,USA
7,SICKO MODE,Travis Scott,Top Songs of 2019: USA,Travis Scott,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008,2019,USA
13,Suge,DaBaby,Top Songs of 2019: USA,DaBaby,0.876,0.662,2.0,-6.482,0.0,0.426,0.0608,0.0,0.127,0.844,75.445,2019,USA
15,7 rings,Ariana Grande,Top Songs of 2019: USA,Ariana Grande,0.778,0.317,1.0,-10.732,0.0,0.334,0.592,0.0,0.0881,0.327,140.048,2019,USA
18,Wow.,Post Malone,Top Songs of 2019: USA,Post Malone,0.829,0.539,11.0,-7.359,0.0,0.208,0.136,1.78e-06,0.103,0.388,99.96,2019,USA
21,No Guidance (feat. Drake),Chris Brown,Top Songs of 2019: USA,Chris Brown,0.696,0.454,1.0,-6.756,0.0,0.153,0.123,0.0,0.155,0.136,92.928,2019,USA
29,Truth Hurts,Lizzo,Top Songs of 2019: USA,Lizzo,0.715,0.624,4.0,-3.046,0.0,0.114,0.11,0.0,0.123,0.412,158.087,2019,USA
35,Envy Me,Calboy,Top Songs of 2019: USA,Calboy,0.74,0.488,1.0,-7.664,0.0,0.27,0.234,0.0,0.241,0.584,149.042,2019,USA
36,Murder on My Mind,YNW Melly,Top Songs of 2019: USA,YNW Melly,0.759,0.73,0.0,-7.985,0.0,0.0516,0.145,3.06e-06,0.11,0.74,115.007,2019,USA
37,Money,Cardi B,Top Songs of 2019: USA,Cardi B,0.95,0.59,8.0,-6.508,0.0,0.29,0.00534,0.0,0.11,0.219,130.003,2019,USA
39,Better,Khalid,Top Songs of 2019: USA,Khalid,0.596,0.552,0.0,-10.278,0.0,0.097,0.0765,0.334,0.104,0.112,97.949,2019,USA
43,bad guy,Billie Eilish,Top Songs of 2019: USA,Billie Eilish,0.701,0.425,7.0,-10.965,1.0,0.375,0.328,0.13,0.1,0.562,135.128,2019,USA
53,Talk,Khalid,Top Songs of 2019: USA,Khalid,0.9,0.4,0.0,-8.575,1.0,0.127,0.0516,0.0,0.0599,0.346,135.984,2019,USA
56,a lot,21 Savage,Top Songs of 2019: USA,21 Savage,0.837,0.636,1.0,-7.643,1.0,0.086,0.0395,0.00125,0.342,0.274,145.972,2019,USA
57,Money In The Grave (feat. Rick Ross),Drake,Top Songs of 2019: USA,,,,,,,,,,,,,2019,USA
58,Pure Cocaine,Lil Baby,Top Songs of 2019: USA,Lil Baby,0.964,0.487,10.0,-6.071,0.0,0.421,0.00127,6.57e-06,0.115,0.107,127.05,2019,USA
59,Look Back at It,A Boogie wit da Hoodie,Top Songs of 2019: USA,A Boogie wit da Hoodie,0.791,0.587,3.0,-5.075,0.0,0.0413,0.407,0.0,0.148,0.536,96.057,2019,USA
60,Thotiana,Blueface,Top Songs of 2019: USA,Blueface,0.906,0.382,10.0,-12.89,0.0,0.269,0.18,0.0,0.113,0.391,104.025,2019,USA
