,songs,artist,title
0,Old Town Road (feat. Billy Ray Cyrus) [Remix],Lil Nas X,Top Songs of 2019: Canada
1,Sunflower (Spider-Man: Into the Spider-Verse),"Post Malone, Swae Lee",Top Songs of 2019: Canada
2,Wow.,Post Malone,Top Songs of 2019: Canada
3,Going Bad (feat. Drake),Meek Mill,Top Songs of 2019: Canada
4,"thank u, next",Ariana Grande,Top Songs of 2019: Canada
5,bad guy,Billie Eilish,Top Songs of 2019: Canada
6,7 rings,Ariana Grande,Top Songs of 2019: Canada
7,Shallow,"Lady Gaga, Bradley Cooper",Top Songs of 2019: Canada
8,Without Me,Halsey,Top Songs of 2019: Canada
9,SICKO MODE,Travis Scott,Top Songs of 2019: Canada
10,I Don't Care,"Ed Sheeran, Justin Bieber",Top Songs of 2019: Canada
11,Happier,"Marshmello, Bastille",Top Songs of 2019: Canada
12,Swervin (feat. 6ix9ine),A Boogie wit da Hoodie,Top Songs of 2019: Canada
13,Eastside,"benny blanco, Halsey, Khalid",Top Songs of 2019: Canada
14,Señorita,"Shawn Mendes, Camila Cabello",Top Songs of 2019: Canada
15,Drip Too Hard,"Lil Baby, Gunna",Top Songs of 2019: Canada
16,Someone You Loved,Lewis Capaldi,Top Songs of 2019: Canada
17,ZEZE (feat. Travis Scott & Offset),Kodak Black,Top Songs of 2019: Canada
18,Money In The Grave (feat. Rick Ross),Drake,Top Songs of 2019: Canada
19,Look Back at It,A Boogie wit da Hoodie,Top Songs of 2019: Canada
20,when the party's over,Billie Eilish,Top Songs of 2019: Canada
21,MIDDLE CHILD,J. Cole,Top Songs of 2019: Canada
22,Better,Khalid,Top Songs of 2019: Canada
23,Ransom,Lil Tecca,Top Songs of 2019: Canada
24,Truth Hurts,Lizzo,Top Songs of 2019: Canada
25,Pure Water,"Mustard, Migos",Top Songs of 2019: Canada
26,Pop Out (feat. Lil Tjay),Polo G,Top Songs of 2019: Canada
27,Mo Bamba,Sheck Wes,Top Songs of 2019: Canada
28,Sucker,Jonas Brothers,Top Songs of 2019: Canada
29,Dancing With A Stranger,"Sam Smith, Normani",Top Songs of 2019: Canada
30,"break up with your girlfriend, i'm bored",Ariana Grande,Top Songs of 2019: Canada
31,Talk,Khalid,Top Songs of 2019: Canada
32,Murder on My Mind,YNW Melly,Top Songs of 2019: Canada
33,Old Town Road,Lil Nas X,Top Songs of 2019: Canada
34,Sweet but Psycho,Ava Max,Top Songs of 2019: Canada
35,bury a friend,Billie Eilish,Top Songs of 2019: Canada
36,Goodbyes (feat. Young Thug),Post Malone,Top Songs of 2019: Canada
37,No Guidance (feat. Drake),Chris Brown,Top Songs of 2019: Canada
38,Body (feat. brando),Loud Luxury,Top Songs of 2019: Canada
39,Better Now,Post Malone,Top Songs of 2019: Canada
40,High Hopes,Panic! At the Disco,Top Songs of 2019: Canada
41,Taste (feat. Offset),Tyga,Top Songs of 2019: Canada
42,Nonstop,Drake,Top Songs of 2019: Canada
43,The London (feat. J. Cole & Travis Scott),Young Thug,Top Songs of 2019: Canada
44,Be Alright,Dean Lewis,Top Songs of 2019: Canada
45,I Like It,"Cardi B, Bad Bunny, J Balvin",Top Songs of 2019: Canada
46,One Thing Right,"Marshmello, Kane Brown",Top Songs of 2019: Canada
47,Saturday Nights,Khalid,Top Songs of 2019: Canada
48,Youngblood,5 Seconds of Summer,Top Songs of 2019: Canada
49,Tequila,Dan + Shay,Top Songs of 2019: Canada
50,If I Can't Have You,Shawn Mendes,Top Songs of 2019: Canada
51,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,Top Songs of 2019: Canada
52,MÍA (feat. Drake),Bad Bunny,Top Songs of 2019: Canada
53,Lucid Dreams,Juice WRLD,Top Songs of 2019: Canada
54,Money,Cardi B,Top Songs of 2019: Canada
55,Whiskey Glasses,Morgan Wallen,Top Songs of 2019: Canada
56,Arms Around You (feat. Maluma & Swae Lee),"XXXTENTACION, Lil Pump",Top Songs of 2019: Canada
57,No Stylist (feat. Drake),French Montana,Top Songs of 2019: Canada
58,Beautiful Crazy,Luke Combs,Top Songs of 2019: Canada
59,Don't Call Me Up,Mabel,Top Songs of 2019: Canada
60,Here With Me (feat. CHVRCHES),Marshmello,Top Songs of 2019: Canada
61,Leave Me Alone,Flipp Dinero,Top Songs of 2019: Canada
62,SOS (feat. Aloe Blacc),Avicii,Top Songs of 2019: Canada
63,10 Freaky Girls (feat. 21 Savage),Metro Boomin,Top Songs of 2019: Canada
64,Knockin' Boots,Luke Bryan,Top Songs of 2019: Canada
65,KIKA (feat. Tory Lanez),6ix9ine,Top Songs of 2019: Canada
66,Suge,DaBaby,Top Songs of 2019: Canada
67,I'm Not Alright,"Loud Luxury, Bryce Vine",Top Songs of 2019: Canada
68,Thotiana,Blueface,Top Songs of 2019: Canada
69,Beautiful People (feat. Khalid),Ed Sheeran,Top Songs of 2019: Canada
70,lovely,"Billie Eilish, Khalid",Top Songs of 2019: Canada
71,ocean eyes,Billie Eilish,Top Songs of 2019: Canada
72,In My Feelings,Drake,Top Songs of 2019: Canada
73,Pure Cocaine,Lil Baby,Top Songs of 2019: Canada
74,Girls Like You (feat. Cardi B),Maroon 5,Top Songs of 2019: Canada
75,Noticed,Lil Mosey,Top Songs of 2019: Canada
76,rockstar (feat. 21 Savage),Post Malone,Top Songs of 2019: Canada
77,You Need To Calm Down,Taylor Swift,Top Songs of 2019: Canada
78,Beer Never Broke My Heart,Luke Combs,Top Songs of 2019: Canada
79,Tap (feat. Meek Mill),NAV,Top Songs of 2019: Canada
80,Lalala,"Y2K, bbno$",Top Songs of 2019: Canada
81,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,Top Songs of 2019: Canada
82,Armed and Dangerous,Juice WRLD,Top Songs of 2019: Canada
83,Speechless,Dan + Shay,Top Songs of 2019: Canada
84,Faucet Failure,Ski Mask the Slump God,Top Songs of 2019: Canada
85,The Git Up,Blanco Brown,Top Songs of 2019: Canada
86,Circles,Post Malone,Top Songs of 2019: Canada
87,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,Top Songs of 2019: Canada
88,Love No More,"Loud Luxury, anders",Top Songs of 2019: Canada
89,Look What God Gave Her,Thomas Rhett,Top Songs of 2019: Canada
90,Panini,Lil Nas X,Top Songs of 2019: Canada
91,Freaky,Tory Lanez,Top Songs of 2019: Canada
92,Nice For What,Drake,Top Songs of 2019: Canada
93,a lot,21 Savage,Top Songs of 2019: Canada
94,Psycho (feat. Ty Dolla $ign),Post Malone,Top Songs of 2019: Canada
95,Meant to Be,"Bebe Rexha, Florida Georgia Line",Top Songs of 2019: Canada
96,Robbery,Juice WRLD,Top Songs of 2019: Canada
97,Moonlight,XXXTENTACION,Top Songs of 2019: Canada
98,God's Plan,Drake,Top Songs of 2019: Canada
99,Uproar (feat. Swizz Beatz),Lil Wayne,Top Songs of 2019: Canada
0,Dance Monkey,Tones And I,Top Songs of 2020: Canada
1,The Box,Roddy Ricch,Top Songs of 2020: Canada
2,Roses (Imanbek Remix),SAINt JHN,Top Songs of 2020: Canada
